,index,id,season,stage,date,home_team_api_id,away_team_api_id,home_team_name,away_team_name,home_team_overall,away_team_overall,home_team_potential,away_team_potential,home_build_up,away_build_up,home_def_press,away_def_press,home_goal_diff,away_goal_diff,home_matchs_won,away_matchs_won
29,29,3393,2012/2013,22,2013-01-13,10260,8650,MUN,LIV,0.816082906991998,0.8042032322335352,0.8396519305610213,0.8292448292448292,0.494949494949495,0.5959595959595959,0.494949494949495,0.5959595959595959,244,162,152,119
30,30,24237,2015/2016,14,2015-12-06,8315,9864,BIL,MAL,0.7906467270103635,0.7370763916218461,0.8084809130263676,0.7599107962744326,0.494949494949495,0.47474747474747475,0.494949494949495,0.47474747474747475,-3,-5,89,89
31,31,18030,2009/2010,26,2010-04-10,7841,9773,RA,POR,0.6799816345270892,0.7929292929292928,0.7268135904499542,0.8448117539026629,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.30303030303030304,-41,296,63,139
32,32,15781,2008/2009,16,2008-11-29,2186,1957,CKR,BIA,0.805325987144169,0.7603305785123967,0.8558310376492194,0.8236914600550965,,,,,-46,0,52,72
33,33,6588,2012/2013,36,2013-05-11,9873,9851,VAL,REN,0.7073767982858892,0.7194422580786216,0.7568105295378023,0.7675182561546198,0.43434343434343436,0.46464646464646464,0.43434343434343436,0.46464646464646464,-24,-10,52,82
34,34,4212,2014/2015,28,2015-03-03,8466,9826,SOU,CRY,0.7703532438380924,0.7532522191613101,0.7984316469164955,0.7696280991735537,0.5050505050505051,0.36363636363636365,0.5050505050505051,0.36363636363636365,41,-14,51,30
35,35,9786,2014/2015,23,2015-02-28,8177,8406,HBE,AUG,0.7511159078652192,0.7483118605708138,0.7755330426129323,0.7728826372077062,0.5050505050505051,0.3434343434343434,0.5050505050505051,0.3434343434343434,-49,-38,48,45
36,36,9224,2012/2013,29,2013-04-13,10189,8178,S04,LEV,0.7623858235428483,0.7953598029355604,0.8010767775230584,0.8240558543588846,0.45454545454545453,0.5858585858585859,0.45454545454545453,0.5858585858585859,66,146,90,112
37,37,22642,2010/2011,8,2010-10-24,10205,9906,VIL,AMA,0.805325987144169,0.7952249770431589,0.8457300275482094,0.847107438016529,0.6565656565656566,0.7070707070707071,0.6565656565656566,0.7070707070707071,29,180,85,126
38,38,22564,2010/2011,35,2011-05-07,8315,8581,BIL,LEV,0.7722681359044995,0.7295684113865932,0.8025711662075299,0.7571166207529845,0.48484848484848486,0.37373737373737376,0.48484848484848486,0.37373737373737376,-3,-80,89,53
39,39,25749,2014/2015,32,2015-05-09,9930,9956,AAR,GRA,0.616161616161616,0.6685063941262288,0.6400367309458218,0.7110202112956935,0.47474747474747475,0.36363636363636365,0.47474747474747475,0.36363636363636365,-98,1,25,88
40,40,19644,2015/2016,4,2015-09-13,8348,6367,MOR,MAD,0.7016922471467926,0.6877869605142333,0.7356519742883378,0.7290327517600244,0.4444444444444444,,0.4444444444444444,,-48,-27,18,5
41,41,25218,2011/2012,34,2012-05-12,9931,9956,BAS,GRA,0.6951331496786041,0.610651974288338,0.7378328741965106,0.6831955922865013,0.47474747474747475,0.36363636363636365,0.47474747474747475,0.36363636363636365,264,1,148,88
42,42,11055,2010/2011,12,2010-11-14,9882,8533,SAM,CHI,0.7557392102846648,0.7199265381083563,0.7956841138659321,0.7786960514233243,0.5050505050505051,0.30303030303030304,0.5050505050505051,0.30303030303030304,-23,-54,72,68
43,43,150,2008/2009,24,2009-02-28,8342,9999,CLB,ROS,0.6951331496786042,0.6395775941230486,0.7456382001836548,0.6974288337924702,,,,,126,-40,89,11
44,44,998,2012/2013,1,2012-07-28,9993,9994,BAC,LOK,0.6666666666666667,0.6864095500459136,0.6919191919191919,0.71900826446281,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,-48,5,26,59
45,45,18817,2012/2013,6,2012-10-08,8348,10212,MOR,MAR,0.654729109274564,0.6919191919191919,0.6887052341597796,0.7373737373737375,,0.3838383838383838,,0.3838383838383838,-48,0,18,73
46,46,10602,2008/2009,6,2008-10-05,9885,8540,JUV,PAL,0.8053259871441689,0.76078971533517,0.8595041322314049,0.815426997245179,,,,,232,-44,148,66
47,47,9225,2012/2013,29,2013-04-12,8358,9904,FRE,HAN,0.7407043013103618,0.7569602955966593,0.7713207107146501,0.7898530762167124,0.5353535353535354,0.3939393939393939,0.5353535353535354,0.3939393939393939,-76,-73,43,67
48,48,15737,2008/2009,10,2008-10-24,8028,1601,PIG,CHO,0.805325987144169,0.7603305785123967,0.8558310376492194,0.8236914600550965,,,,,-32,3,54,75
49,49,24585,2008/2009,14,2008-11-09,9824,9931,VAD,BAS,0.805325987144169,0.7603305785123967,0.8558310376492194,0.8236914600550965,,,,,-87,264,13,148
50,50,8897,2011/2012,26,2012-03-17,8177,9823,HBE,BMU,0.7350780532598715,0.8475665748393021,0.7603305785123967,0.8741965105601469,0.5050505050505051,0.494949494949495,0.5050505050505051,0.494949494949495,-49,348,48,156
51,51,6730,2013/2014,15,2013-12-01,9827,8576,BOR,AJA,0.754250295159386,0.6771196816651363,0.7819012637194455,0.7239822467095195,0.4444444444444444,0.3838383838383838,0.4444444444444444,0.3838383838383838,43,-48,98,18
52,52,9418,2013/2014,17,2013-12-20,9810,8406,EFR,AUG,0.7504897459442913,0.7199849912416757,0.7848178757269667,0.7470298220298219,0.46464646464646464,0.3333333333333333,0.46464646464646464,0.3333333333333333,-69,-38,57,45
53,53,12993,2015/2016,18,2016-01-06,8600,8524,UDI,ATA,0.7547469645954495,0.7386363636363638,0.7790812162024284,0.7690410599501508,0.40404040404040403,0.36363636363636365,0.40404040404040403,0.36363636363636365,11,-54,95,59
54,54,20148,2009/2010,9,2009-10-24,9800,9927,MIR,MOT,0.6441689623507805,0.6267217630853994,0.6937557392102847,0.6900826446280992,,,,,-116,-37,45,87
55,55,13636,2009/2010,15,2009-11-28,8525,8611,WII,TWE,0.6533516988062442,0.7373737373737375,0.7075298438934804,0.7791551882460973,,,,,-140,165,37,120
56,56,2732,2010/2011,31,2011-04-02,10261,8602,NEW,WOL,0.7438016528925622,0.7314049586776861,0.7823691460055096,0.7722681359044995,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,-96,-43,67,21
57,57,25007,2010/2011,25,2011-03-20,10192,10199,YB,LUZ,0.6776859504132232,0.6460055096418732,0.72910927456382,0.7098255280073461,0.48484848484848486,0.5656565656565656,0.48484848484848486,0.5656565656565656,136,5,122,77
58,58,18021,2009/2010,25,2010-04-03,10215,9771,ACA,ULE,0.6717171717171718,0.6799816345270892,0.7217630853994491,0.712121212121212,0.30303030303030304,0.5050505050505051,0.30303030303030304,0.5050505050505051,-91,-50,46,18
59,59,10014,2015/2016,16,2015-12-12,9823,8234,BMU,ING,0.8273929773929773,0.7049072980891162,0.8615505706414798,0.7258107773259288,0.7272727272727273,0.37373737373737376,0.7272727272727273,0.37373737373737376,348,-10,156,7
60,60,23782,2013/2014,8,2013-10-06,9906,9910,AMA,CEL,0.8191358024691358,0.7190104508286326,0.8438322620140802,0.7652586470768289,0.5252525252525253,0.42424242424242425,0.5252525252525253,0.42424242424242425,180,-27,126,39
61,61,22636,2010/2011,7,2010-10-17,8581,8560,LEV,SOC,0.7171717171717171,0.7286501377410469,0.7672176308539945,0.7800734618916437,0.30303030303030304,0.45454545454545453,0.30303030303030304,0.45454545454545453,-80,-25,53,62
62,62,213,2008/2009,30,2009-04-17,9987,9991,GEN,GEN,0.6620752984389349,0.699724517906336,0.6974288337924702,0.7378328741965107,,,,,85,117,79,84
63,63,1692,2015/2016,5,2015-08-22,10000,8342,ZUL,CLB,0.6681672424096665,0.7102963254478406,0.7000123894063289,0.7574649817074058,0.4444444444444444,0.5151515151515151,0.4444444444444444,0.5151515151515151,7,126,56,89
64,64,6536,2012/2013,31,2013-04-07,9853,4087,ETI,ETG,0.7646052218366268,0.7316651362105907,0.7990737759332801,0.7525099479644933,0.35353535353535354,0.47474747474747475,0.35353535353535354,0.47474747474747475,28,-52,98,32
65,65,22201,2009/2010,37,2010-05-08,8302,8634,SEV,BAR,0.807621671258035,0.8411386593204775,0.8558310376492194,0.884297520661157,0.6060606060606061,0.7070707070707071,0.6060606060606061,0.7070707070707071,32,463,101,175
66,66,4244,2014/2015,30,2015-03-22,10172,8668,QPR,EVE,0.7501967729240456,0.7937557392102846,0.7753509117145481,0.8121824303642484,0.5050505050505051,0.5252525252525253,0.5050505050505051,0.5252525252525253,-76,67,16,96
67,67,8440,2010/2011,11,2010-11-07,8178,8350,LEV,KAI,0.7800734618916436,0.6891643709825527,0.8356290174471991,0.7626262626262627,0.7070707070707071,0.7070707070707071,0.7070707070707071,0.7070707070707071,146,-17,112,14
68,68,8573,2010/2011,24,2011-02-26,8152,9904,STP,HAN,0.7043158861340678,0.7497704315886135,0.748852157943067,0.7865013774104684,0.494949494949495,0.3939393939393939,0.494949494949495,0.3939393939393939,-23,-73,7,67
